shop_type_name,action_sequence_str,count
(B2B),distributorCfmDeliver,4
(B2B),verifySessionPackage,3
(B2B),assignCodPicking,2
(B2B),verifySessionPackage → distributorCfmDeliver,2
(B2B),distributorCfmDeliver → verifySessionPackage → verifySessionPackage,1
(B2B),printfPackage,1
(B2B),privateNotePackage → changeAttributeForSurplus,1
(B2B),verifySessionPackage → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
Brand,distributorCfmDeliver,20
Brand,privateNotePackage,14
Brand,verifySessionPackage,14
Brand,putPackages2Bag → putInBox,3
Brand,updateDeliverWorkshiftByCod → distributorCfmDeliver,3
Brand,updateDeliverWorkshiftByCod → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill,3
Brand,NVBCTakeAPhotoDelivery,2
Brand,distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → distributorCfmDeliver,2
Brand,distributorCfmDeliver → takeDeliveringPackages,2
Brand,privateNotePackage → changeAttributeForSurplus,2
"Prime (Shopee, TikTok)",distributorCfmDeliver,6
"Prime (Shopee, TikTok)",privateNotePackage,5
"Prime (Shopee, TikTok)",updateDeliverWorkshiftByCod → distributorCfmDeliver,2
"Prime (Shopee, TikTok)",verifySessionPackage → distributorCfmDeliver,2
"Prime (Shopee, TikTok)",TakeAPhotoWeightChange → TakeAPhotoWeightChange,1
"Prime (Shopee, TikTok)",distributorCfmDeliver → ArriveDeliveringPoint → updateTmpDeliveringStatus → delayDeliverPackageReason → confirmTmpDeliveredPackageStatus → RefundBill,1
"Prime (Shopee, TikTok)",distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → distributorCfmDeliver,1
"Prime (Shopee, TikTok)",distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver,1
"Prime (Shopee, TikTok)",distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → privateNotePackage → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → RefundBill → updateNotDeliveredByCod → verifySessionPackage,1
"Prime (Shopee, TikTok)",distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus → distributorCfmDeliver,1
Pro (B2C),distributorCfmDeliver,682
Pro (B2C),verifySessionPackage,246
Pro (B2C),verifySessionPackage → distributorCfmDeliver,119
Pro (B2C),privateNotePackage,99
Pro (B2C),updateDeliverWorkshiftByCod → distributorCfmDeliver,61
Pro (B2C),distributorCfmDeliver → distributorCfmDeliver,39
Pro (B2C),verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver,38
Pro (B2C),verifySessionPackage → verifySessionPackage,35
Pro (B2C),updateDeliverWorkshiftByCod,34
Pro (B2C),assignCodPicking,21
Standard (C2C),distributorCfmDeliver,91
Standard (C2C),verifySessionPackage,25
Standard (C2C),privateNotePackage,17
Standard (C2C),updateDeliverWorkshiftByCod,16
Standard (C2C),verifySessionPackage → distributorCfmDeliver,16
Standard (C2C),assignCodPicking,13
Standard (C2C),distributorCfmDeliver → takeDeliveringPackages,8
Standard (C2C),privateNotePackage → updateDeliverWorkshiftByCod → distributorCfmDeliver,8
Standard (C2C),verifySessionPackage → verifySessionPackage,8
Standard (C2C),distributorCfmDeliver → distributorCfmDeliver,7
Top Brand,distributorCfmDeliver,6
Top Brand,smartScaleScanningPackage → requestHandOverPackages → distributorCfmDeliver,6
Top Brand,NVBCTakeAPhotoDelivery → distributorCfmDeliver,3
Top Brand,verifySessionPackage,3
Top Brand,verifySessionPackage → NVBCTakeAPhotoDelivery → distributorCfmDeliver,3
Top Brand,putPackages2Bag → putInBox,2
Top Brand,updateDeliverWorkshiftByCod → distributorCfmDeliver,2
Top Brand,NVBCConfirmImageWorkshift → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill,1
Top Brand,NVBCConfirmImageWorkshift → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver,1
Top Brand,NVBCConfirmImageWorkshift → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus → distributorCfmDeliver,1
